Date,Make,Model,Color,Year,Price,Mileage,EngineSize,FuelEfficiency,SalesPerson
2022-02-11,BMW,Hatchback,Blue,2021,51342.01,17794.0,1.6,23.4,Bob
2022-02-12,Honda,Hatchback,Black,2015,22655.96,84975.0,2.0,28.8,David
2022-02-13,Nissan,Sedan,Blue,2016,28280.58,32418.0,1.6,25.5,Charlie
2022-02-14,Mercedes,Sedan,Silver,2020,58214.22,15535.0,1.6,36.3,Alice
2022-02-15,Mercedes,SUV,Silver,2017,37491.89,9520.0,3.0,23.3,David
2022-02-16,BMW,Hatchback,Blue,2016,45037.96,92396.0,1.6,35.8,Bob
2022-02-17,BMW,Sedan,Red,2021,66708.2,19089.0,1.6,30.4,Eva
2022-02-18,Audi,Truck,Silver,2021,61680.5,13054.0,3.0,25.4,David
2022-02-19,Kia,Hatchback,Red,2022,36814.59,48467.0,2.5,31.1,David
2022-02-20,Chevrolet,Truck,Red,2019,25517.42,2699.0,2.0,27.6,Charlie
2022-02-21,BMW,Van,Black,2022,26542.13,36797.0,3.5,30.4,Eva
2022-02-22,BMW,Hatchback,Silver,2016,42550.62,77991.0,3.0,20.0,Bob
2022-02-23,Mercedes,Sedan,Silver,2016,60939.86,38698.0,3.0,25.0,Bob
2022-02-24,Ford,Coupe,White,2018,67651.9,93107.0,2.0,24.9,David
2022-02-25,Ford,SUV,Gray,2019,25271.19,48552.0,2.5,37.1,Bob
2022-02-26,Honda,SUV,Gray,2022,68306.85,54691.0,3.5,34.4,David
2022-02-27,Honda,Sedan,Black,2019,48714.79,62491.0,2.5,36.3,David
2022-02-28,Audi,Van,Blue,2017,78262.69,92091.0,3.5,28.4,Eva
2022-03-01,Ford,Coupe,Green,2020,30369.87,24679.0,3.5,23.7,Bob
2022-03-02,Kia,SUV,Red,2022,79372.98,86796.0,1.6,36.5,Eva
2022-03-03,Nissan,Truck,Black,2020,44868.2,75720.0,4.0,21.8,Eva
2022-03-04,Chevrolet,Sedan,Red,2016,21622.31,5772.0,2.0,22.3,David
2022-03-05,Nissan,Coupe,Green,2016,58480.08,91557.0,1.6,31.3,Alice
2022-03-06,Hyundai,SUV,Red,2018,36591.31,45631.0,4.0,33.3,David
2022-03-07,Hyundai,SUV,Black,2021,32120.12,45255.0,2.0,35.6,Eva
2022-03-08,Ford,SUV,Gray,2022,57818.3,77888.0,1.6,30.5,David
2022-03-09,Audi,Hatchback,Green,2019,63226.54,48730.0,3.0,32.7,Alice
2022-03-10,Hyundai,Van,White,2016,25267.12,34757.0,4.0,25.1,Charlie
2022-03-11,Mercedes,Sedan,Blue,2016,73266.43,53532.0,4.0,28.0,Charlie
2022-03-12,Honda,Coupe,Red,2018,34662.22,38109.0,3.0,29.9,Charlie
2022-03-13,Kia,Coupe,Gray,2018,67568.34,65071.0,1.6,30.2,Alice
2022-03-14,Ford,Van,Red,2021,38473.97,9045.0,4.0,38.9,Bob
2022-03-15,Toyota,Coupe,Blue,2016,66974.56,69293.0,2.5,30.7,David
2022-03-16,Toyota,Van,Silver,2020,43445.13,34546.0,3.5,31.9,Bob
2022-03-17,Chevrolet,Truck,Blue,2016,27198.9,39574.0,4.0,38.6,Eva
2022-03-18,Mercedes,Sedan,Silver,2020,35990.69,73944.0,2.5,28.4,Eva
2022-03-19,Hyundai,Hatchback,White,2018,52232.56,98419.0,4.0,35.9,Eva
2022-03-20,Hyundai,Hatchback,Green,2018,27799.16,39693.0,3.0,21.4,Alice
2022-03-21,BMW,Sedan,Green,2020,42504.51,22892.0,3.5,20.7,Eva
2022-03-22,Audi,Coupe,Gray,2021,64912.11,83027.0,2.5,32.7,Bob
2022-03-23,Audi,Van,White,2020,65376.91,48705.0,1.6,23.7,Bob
2022-03-24,Chevrolet,Coupe,Blue,2021,50800.3,3686.0,3.5,32.3,Charlie
2022-03-25,Honda,Coupe,Silver,2021,66437.04,83696.0,3.5,30.4,Alice
2022-03-26,Toyota,Truck,Black,2019,46981.48,59315.0,4.0,38.0,Charlie
2022-03-27,Toyota,Van,Gray,2018,67959.1,22262.0,3.0,29.4,Alice
2022-03-28,Toyota,Sedan,Gray,2015,34898.17,18887.0,2.0,22.9,Bob
2022-03-29,Audi,Coupe,Green,2019,46140.03,39915.0,2.0,27.7,Eva
2022-03-30,BMW,Coupe,White,2018,28198.42,68223.0,3.5,31.2,Charlie
2022-03-31,BMW,SUV,Green,2018,77859.91,63477.0,1.6,31.3,Bob
2022-04-01,Audi,SUV,Gray,2015,56925.7,70718.0,4.0,37.3,Alice
2022-04-02,Kia,SUV,Black,2016,42398.66,46772.0,1.6,28.1,Charlie
2022-04-03,Hyundai,Sedan,Gray,2019,41367.37,92953.0,3.5,22.1,David
2022-04-04,Honda,Sedan,Gray,2018,77662.4,94615.0,3.0,39.6,Bob
2022-04-05,Hyundai,Coupe,Gray,2022,41639.79,5119.0,4.0,20.3,David
2022-04-06,BMW,Truck,Silver,2018,46774.07,70760.0,4.0,29.8,Charlie
2022-04-07,Mercedes,SUV,Gray,2020,37649.62,15363.0,4.0,38.9,Charlie
2022-04-08,Audi,SUV,Black,2020,48521.34,74160.0,1.6,25.1,David
2022-04-09,Honda,SUV,Blue,2017,65158.69,29227.0,3.5,32.1,Alice
2022-04-10,Chevrolet,Truck,Silver,2021,58776.33,74992.0,3.5,31.1,Eva
2022-04-11,Chevrolet,Coupe,Red,2018,41149.05,82241.0,1.6,25.5,David
2022-04-12,Chevrolet,SUV,Red,2016,53333.96,12836.0,2.5,36.6,Alice
2022-04-13,BMW,Truck,Blue,2016,66568.83,48189.0,3.5,23.2,Eva
2022-04-14,Nissan,Hatchback,Blue,2020,30812.92,89668.0,3.0,34.9,Alice
2022-04-15,Hyundai,Hatchback,White,2016,50409.11,6018.0,3.0,33.6,Bob
2022-04-16,Honda,Sedan,White,2015,42843.3,78478.0,3.0,24.3,Eva
2022-04-17,Mercedes,Truck,Gray,2015,58859.32,4502.0,2.0,28.2,David
2022-04-18,Hyundai,Truck,Gray,2015,52838.1,89245.0,2.0,36.3,Alice
2022-04-19,Audi,Van,Silver,2020,41543.44,77156.0,3.0,38.4,Alice
2022-04-20,Audi,SUV,Black,2020,46102.04,40990.0,1.6,36.4,David
2022-04-21,Ford,Coupe,Black,2019,57947.39,57520.0,2.0,33.4,Charlie
2022-04-22,Honda,Van,Black,2018,78659.03,94520.0,2.5,20.8,Charlie
2022-04-23,Honda,SUV,Green,2015,72125.92,98668.0,1.6,32.8,David
2022-04-24,Audi,Van,White,2015,26512.63,53686.0,3.5,29.8,Eva
2022-04-25,Hyundai,Hatchback,Silver,2016,75199.44,54395.0,3.0,32.0,Bob
2022-04-26,Kia,SUV,Green,2019,59049.33,52750.0,3.0,23.6,Bob
2022-04-27,Nissan,Truck,White,2022,40336.39,12255.0,2.5,31.2,Eva
2022-04-28,Nissan,Sedan,Silver,2017,53237.88,42126.0,2.0,30.9,Bob
2022-04-29,Kia,Coupe,Green,2018,32270.48,31071.0,3.5,21.7,Eva
2022-04-30,Mercedes,Hatchback,Silver,2016,59401.05,34462.0,3.0,25.3,Bob
2022-05-01,Mercedes,Hatchback,Black,2021,67594.91,23382.0,2.5,37.9,Alice
2022-05-02,Nissan,Hatchback,Red,2018,53518.11,32072.0,2.0,39.6,Alice
2022-05-03,Toyota,SUV,Silver,2015,76591.27,35823.0,2.0,24.1,Alice
2022-05-04,Honda,Hatchback,Gray,2017,22198.47,48349.0,3.5,39.7,David
2022-05-05,Toyota,Coupe,Black,2015,45832.98,80258.0,1.6,39.5,Charlie
2022-05-06,Kia,Hatchback,Black,2021,45997.77,45970.0,1.6,35.4,David
2022-05-07,Ford,Sedan,Red,2018,45429.6,54641.0,3.0,28.9,David
2022-05-08,Nissan,Coupe,Green,2022,62176.43,13957.0,3.5,20.3,Alice
2022-05-09,Hyundai,Coupe,Red,2018,25822.29,26246.0,1.6,29.1,Alice
2022-05-10,Chevrolet,Truck,Black,2020,22861.34,97813.0,2.0,22.7,Alice
2022-05-11,Kia,Coupe,Black,2022,48815.81,96915.0,3.5,25.7,Charlie
2022-05-12,BMW,Van,Black,2022,57387.78,7426.0,3.0,20.6,Charlie
2022-05-13,Hyundai,Hatchback,Blue,2022,54854.03,30786.0,4.0,23.5,Alice
2022-05-14,Toyota,Sedan,Red,2017,41621.85,47747.0,3.5,24.6,Charlie
2022-05-15,Nissan,Truck,Silver,2020,61507.22,51057.0,2.0,20.8,Eva
2022-05-16,Audi,Truck,Gray,2017,21061.23,46104.0,2.5,35.0,Alice
2022-05-17,Honda,Hatchback,Green,2020,56307.53,79015.0,1.6,38.6,Charlie
2022-05-18,Ford,Truck,Blue,2015,64450.85,15732.0,4.0,23.9,Bob
2022-05-19,Honda,Truck,Green,2020,51102.87,70601.0,2.5,38.5,Alice
2022-05-20,BMW,Van,White,2022,23170.4,87247.0,1.6,31.5,Eva
2022-05-21,Ford,Coupe,Gray,2017,29216.58,70189.0,2.5,34.7,David
2022-05-22,Audi,Sedan,Red,2016,60285.17,38944.0,3.5,25.6,Eva
2022-05-23,Chevrolet,SUV,White,2022,69857.81,58778.0,4.0,27.3,Eva
2022-05-24,BMW,Hatchback,Gray,2018,68224.45,96039.0,2.5,40.0,David
2022-05-25,Ford,Sedan,White,2015,67171.44,80353.0,2.0,34.4,Bob
2022-05-26,Audi,Truck,Gray,2017,57698.93,17532.0,4.0,31.1,David
2022-05-27,BMW,SUV,White,2022,38579.85,62603.0,2.5,24.0,Bob
2022-05-28,Ford,Sedan,Gray,2016,73419.84,82406.0,2.5,29.7,Bob
2022-05-29,Nissan,Coupe,Silver,2015,43505.6,20843.0,1.6,30.1,Eva
2022-05-30,Mercedes,Van,Red,2021,75063.76,51973.0,2.0,21.4,Alice
2022-05-31,Mercedes,SUV,Red,2019,42630.42,17822.0,3.5,30.1,Eva
2022-06-01,Mercedes,Van,White,2022,20860.68,11312.0,3.0,30.9,Alice
2022-06-02,Ford,Truck,Blue,2018,25856.73,94081.0,1.6,25.7,Bob
2022-06-03,Mercedes,Sedan,Silver,2019,25691.74,61946.0,2.0,22.4,Bob
2022-06-04,Audi,Sedan,Gray,2016,24338.87,985.0,4.0,39.2,David
2022-06-05,BMW,Coupe,Blue,2017,36827.64,81289.0,4.0,37.5,David
2022-06-06,Audi,Coupe,Gray,2021,55616.12,33603.0,4.0,20.2,Alice
2022-06-07,Ford,Hatchback,Gray,2017,36568.64,34570.0,1.6,34.4,Charlie
2022-06-08,BMW,Van,Silver,2022,37749.49,20700.0,1.6,24.1,David
2022-06-09,Audi,SUV,Silver,2020,63856.14,21817.0,3.0,37.6,David
2022-06-10,Hyundai,Hatchback,Red,2020,77185.85,66315.0,3.0,26.3,Bob
2022-06-11,BMW,SUV,Black,2021,63377.31,64777.0,2.5,25.6,Alice
2022-06-12,Ford,Coupe,Gray,2019,52492.24,4818.0,3.0,39.1,Charlie
2022-06-13,Chevrolet,Truck,Blue,2017,42193.44,15471.0,3.5,36.7,Eva
2022-06-14,Toyota,Coupe,Black,2021,73413.51,36714.0,2.0,27.2,Eva
2022-06-15,Toyota,Sedan,Silver,2021,74994.83,37485.0,4.0,31.0,Charlie
2022-06-16,Honda,Hatchback,Red,2022,55686.48,3131.0,1.6,29.0,Alice
2022-06-17,Toyota,SUV,Gray,2017,30610.24,40044.0,3.0,30.7,David
2022-06-18,Audi,SUV,Silver,2016,44470.42,17954.0,3.0,31.2,Eva
2022-06-19,Audi,SUV,Gray,2017,22093.52,72114.0,3.0,27.5,Alice
2022-06-20,Nissan,Coupe,Silver,2017,53987.38,29988.0,3.5,24.4,Alice
2022-06-21,Kia,Sedan,Blue,2016,58641.72,4298.0,4.0,37.3,Charlie
2022-06-22,Mercedes,Van,Silver,2019,20163.04,11432.0,2.0,38.3,Alice
2022-06-23,Toyota,Coupe,Black,2016,70862.41,81226.0,1.6,38.9,Eva
2022-06-24,Kia,Sedan,Black,2016,62146.04,96844.0,4.0,35.8,Eva
2022-06-25,Hyundai,Truck,Blue,2020,60851.68,20387.0,1.6,26.4,David
2022-06-26,Nissan,SUV,Black,2022,76265.85,96030.0,4.0,39.3,Charlie
2022-06-27,Ford,SUV,Black,2017,60738.83,82447.0,2.0,25.3,David
2022-06-28,Ford,Coupe,Blue,2021,38106.01,81367.0,1.6,26.7,Charlie
2022-06-29,Ford,Sedan,Silver,2017,26863.52,46892.0,4.0,32.4,Alice
2022-06-30,Hyundai,Van,Red,2017,51128.72,74381.0,4.0,22.2,Eva
2022-07-01,BMW,SUV,Silver,2016,72841.49,67357.0,1.6,32.4,David
2022-07-02,Kia,Van,Green,2015,34845.55,57615.0,3.0,22.9,David
2022-07-03,Kia,Van,Green,2016,35739.95,62576.0,1.6,26.6,Alice
2022-07-04,Audi,Van,Blue,2016,25810.69,41446.0,4.0,28.0,David
2022-07-05,Mercedes,Hatchback,Gray,2015,24407.06,75611.0,4.0,21.6,Alice
2022-07-06,Audi,Coupe,Silver,2016,47404.12,41608.0,3.5,35.1,Eva
2022-07-07,Mercedes,Hatchback,White,2015,73776.16,84762.0,3.0,25.4,Bob
2022-07-08,Audi,Truck,Red,2020,49636.09,78782.0,3.0,27.1,David
2022-07-09,Honda,Sedan,Silver,2017,27453.28,62081.0,2.5,29.9,Bob
2022-07-10,Toyota,Van,Red,2015,31760.67,91806.0,2.5,22.8,David
2022-07-11,Nissan,SUV,Blue,2022,36863.59,10864.0,2.5,28.3,Bob
2022-07-12,Ford,Van,White,2019,56187.88,7265.0,4.0,29.3,Eva
2022-07-13,Ford,Sedan,Blue,2019,67714.56,22454.0,3.0,36.6,Charlie
2022-07-14,Kia,Truck,Red,2019,22355.22,9855.0,2.0,39.7,Alice
2022-07-15,Toyota,Coupe,Black,2018,46820.95,54676.0,3.5,23.6,Charlie
2022-07-16,Audi,Coupe,Gray,2018,22001.7,51075.0,1.6,31.2,Alice
2022-07-17,Hyundai,Hatchback,Green,2016,62206.39,58018.0,4.0,37.4,Eva
2022-07-18,Hyundai,Truck,White,2015,77235.88,91398.0,2.5,30.1,Eva
2022-07-19,Mercedes,Sedan,White,2020,26049.04,5713.0,2.5,38.8,Alice
2022-07-20,Chevrolet,Sedan,Green,2017,44957.57,85638.0,2.0,32.6,Eva
2022-07-21,Toyota,Hatchback,Gray,2020,50504.84,76200.0,4.0,25.3,Bob
2022-07-22,Honda,Hatchback,Black,2017,49765.24,82551.0,2.5,29.4,Charlie
2022-07-23,Nissan,Truck,Red,2022,67827.11,20579.0,4.0,30.3,Charlie
2022-07-24,Honda,Truck,Red,2019,66635.51,7258.0,3.5,29.6,Alice
2022-07-25,Audi,Coupe,Green,2021,72389.41,33197.0,3.5,30.5,Bob
2022-07-26,Honda,SUV,Green,2020,50256.09,9585.0,2.0,35.7,Charlie
2022-07-27,Chevrolet,Van,Green,2022,57994.37,47634.0,1.6,35.8,Charlie
2022-07-28,Toyota,SUV,Silver,2020,25841.29,18652.0,4.0,30.3,Alice
2022-07-29,Ford,Truck,Black,2018,56236.75,94387.0,1.6,27.6,Bob
2022-07-30,Mercedes,Coupe,Gray,2017,76288.09,8371.0,3.0,29.5,Bob
2022-07-31,Ford,Coupe,Green,2016,58414.31,79077.0,3.0,32.0,Eva
2022-08-01,Audi,Sedan,Gray,2015,56870.53,79220.0,2.5,37.7,Bob
2022-08-02,Hyundai,Sedan,Red,2019,30674.65,40717.0,1.6,27.8,Bob
2022-08-03,Hyundai,Truck,Red,2016,20823.95,94837.0,2.0,35.9,Charlie
2022-08-04,Ford,Hatchback,Gray,2019,27741.69,79533.0,2.0,37.6,David
2022-08-05,Kia,Hatchback,White,2020,45834.03,80854.0,3.0,39.5,Charlie
2022-08-06,BMW,Hatchback,Blue,2020,71435.91,3387.0,2.5,20.9,Bob
2022-08-07,Audi,Coupe,Silver,2016,71987.11,5856.0,2.0,23.4,Charlie
2022-08-08,Kia,Coupe,Red,2016,66369.6,31753.0,2.0,23.6,David
2022-08-09,BMW,Sedan,Gray,2016,60949.25,97894.0,3.0,27.2,Bob
2022-08-10,Hyundai,SUV,Black,2015,56323.3,19458.0,3.5,28.3,Bob
2022-08-11,Audi,Hatchback,Blue,2022,73717.39,164.0,3.5,21.5,David
2022-08-12,Chevrolet,Hatchback,Blue,2018,30328.25,24767.0,1.6,22.4,Alice
2022-08-13,Kia,Van,Green,2016,34958.38,81274.0,3.5,20.7,David
2022-08-14,Hyundai,Truck,Gray,2017,55193.65,93800.0,3.0,21.6,Eva
2022-08-15,BMW,Sedan,Silver,2020,62488.15,37927.0,1.6,23.0,Bob
2022-08-16,Honda,Van,Silver,2016,24354.04,33199.0,2.5,21.8,Charlie
2022-08-17,Nissan,SUV,Green,2019,79619.6,23668.0,2.5,35.6,Bob
2022-08-18,Nissan,Van,Black,2021,24867.5,10764.0,3.0,38.3,Bob
2022-08-19,Ford,Coupe,Blue,2020,66175.14,17416.0,3.5,26.9,Alice
2022-08-20,Mercedes,Truck,White,2019,56694.71,37010.0,3.5,27.3,Charlie
2022-08-21,Honda,Van,Blue,2019,28852.94,14788.0,1.6,39.6,Eva
2022-08-22,Mercedes,Hatchback,Green,2021,61348.56,65869.0,3.5,30.8,Bob
2022-08-23,Mercedes,Truck,Black,2017,22279.42,41239.0,3.0,21.9,David
2022-08-24,Hyundai,Coupe,Red,2021,49135.74,24125.0,1.6,27.6,David
2022-08-25,Honda,Truck,Red,2022,47916.11,82514.0,2.0,33.3,Alice
2022-08-26,Ford,Van,Black,2015,51911.73,19403.0,4.0,36.6,Eva
2022-08-27,Toyota,SUV,Red,2019,44241.59,68785.0,2.5,24.6,Charlie
2022-08-28,Mercedes,Sedan,Silver,2017,53470.37,32081.0,4.0,23.9,David
2022-08-29,Audi,Hatchback,Black,2015,56139.58,39532.0,1.6,33.2,David
2022-08-30,Hyundai,Van,Red,2018,36050.08,7101.0,1.6,28.0,Alice
2022-08-31,Mercedes,Van,Blue,2019,37069.46,58181.0,2.5,32.8,Alice
2022-09-01,Nissan,Van,White,2017,40299.57,14253.0,1.6,28.5,Eva
2022-09-02,Mercedes,Van,Gray,2017,28349.73,67597.0,3.5,22.2,Bob
2022-09-03,Ford,SUV,Silver,2017,57748.02,9745.0,2.5,31.2,Eva
2022-09-04,Chevrolet,Van,Silver,2019,74040.5,24414.0,1.6,37.7,Bob
2022-09-05,Ford,Coupe,Blue,2019,55732.06,23641.0,1.6,22.3,Alice
2022-09-06,Audi,SUV,Gray,2018,28118.46,16249.0,4.0,38.8,Bob
2022-09-07,Audi,SUV,Blue,2015,48061.32,24710.0,3.5,23.3,Alice
2022-09-08,Chevrolet,SUV,Blue,2016,44787.45,27242.0,3.5,20.7,Alice
2022-09-09,Ford,Van,Blue,2022,64016.3,56755.0,3.5,34.0,Eva
2022-09-10,Ford,Coupe,Blue,2016,77178.82,87362.0,1.6,28.0,David
2022-09-11,Toyota,SUV,Green,2021,67873.88,56010.0,3.0,33.9,Eva
2022-09-12,Chevrolet,Truck,Blue,2015,55094.61,36744.0,2.0,35.2,Alice
2022-09-13,BMW,SUV,Red,2019,76821.15,40475.0,2.0,37.2,Alice
2022-09-14,Kia,Coupe,Silver,2022,77000.1,14192.0,1.6,22.8,Alice
2022-09-15,Nissan,Hatchback,Red,2017,55581.62,97512.0,3.5,26.6,Alice
2022-09-16,Kia,Sedan,Green,2019,75655.18,82395.0,4.0,38.1,David
2022-09-17,Kia,Sedan,Gray,2019,21254.01,77619.0,3.5,20.6,Alice
2022-09-18,BMW,Sedan,White,2022,63910.21,9114.0,4.0,28.5,Bob
2022-09-19,Honda,SUV,Black,2019,34042.88,63064.0,2.0,26.3,Charlie
2022-09-20,Hyundai,Coupe,Gray,2015,61592.96,53315.0,3.5,26.7,Bob
2022-09-21,BMW,Truck,Silver,2019,27148.51,3051.0,4.0,28.2,Eva
2022-09-22,Nissan,Truck,Blue,2015,63782.4,48204.0,2.5,26.8,Bob
2022-09-23,Kia,SUV,Blue,2018,43081.63,78391.0,4.0,31.5,Alice
2022-09-24,Mercedes,Sedan,Black,2017,48126.09,34280.0,2.5,31.6,Bob
2022-09-25,Honda,Coupe,Red,2015,27026.94,26338.0,3.5,30.1,Alice
2022-09-26,Honda,Truck,Blue,2018,23138.42,97301.0,3.5,32.4,Charlie
2022-09-27,Chevrolet,Coupe,Black,2016,47981.43,95881.0,2.0,39.7,Charlie
2022-09-28,Toyota,Sedan,Black,2018,60660.19,25910.0,1.6,26.9,David
2022-09-29,Kia,SUV,Blue,2015,70431.63,37955.0,1.6,37.5,Bob
2022-09-30,Chevrolet,Hatchback,Black,2020,40514.69,15568.0,4.0,24.8,Charlie
2022-10-01,BMW,Truck,Green,2016,40433.06,71659.0,4.0,29.4,Eva
2022-10-02,Kia,SUV,Silver,2021,27999.89,5474.0,3.0,20.6,Eva
2022-10-03,BMW,SUV,Blue,2019,78129.53,78392.0,2.0,32.5,Alice
2022-10-04,Audi,Hatchback,Silver,2022,31236.42,89603.0,2.5,31.4,Bob
2022-10-05,Hyundai,Van,Green,2017,46972.5,10049.0,2.0,39.0,Eva
2022-10-06,Mercedes,Coupe,Green,2020,44660.34,95154.0,4.0,28.4,Charlie
2022-10-07,Toyota,Sedan,Black,2021,74861.23,87196.0,4.0,22.1,David
2022-10-08,Ford,Hatchback,Green,2022,20363.32,78435.0,3.5,37.1,Charlie
2022-10-09,Toyota,SUV,Blue,2019,27717.34,16769.0,1.6,26.6,Eva
2022-10-10,Chevrolet,SUV,Gray,2020,38823.7,9556.0,3.5,39.1,Alice
2022-10-11,Audi,Coupe,Gray,2021,62465.96,69047.0,1.6,30.9,David
2022-10-12,Mercedes,Van,Green,2018,33324.75,92402.0,3.0,28.1,Charlie
2022-10-13,Mercedes,Coupe,Gray,2015,31372.2,21802.0,2.0,27.3,Charlie
2022-10-14,Hyundai,Coupe,Green,2017,67992.76,77189.0,1.6,30.5,Bob
2022-10-15,Audi,Coupe,Red,2021,74704.44,79930.0,3.5,32.3,David
2022-10-16,Nissan,Van,Green,2020,69214.49,27177.0,4.0,37.6,Alice
2022-10-17,Toyota,SUV,Green,2016,37024.72,56858.0,4.0,35.9,Eva
2022-10-18,Hyundai,Hatchback,Silver,2021,41497.78,74910.0,1.6,34.9,Charlie
2022-10-19,BMW,Hatchback,Green,2016,31048.69,10320.0,2.5,37.2,Bob
2022-10-20,Nissan,Sedan,Black,2018,68220.47,68148.0,3.5,24.9,Eva
2022-10-21,Nissan,Hatchback,White,2015,59121.57,53056.0,3.0,30.1,Charlie
2022-10-22,Kia,Hatchback,Blue,2017,67616.09,49109.0,2.5,39.7,Eva
2022-10-23,Ford,Hatchback,White,2015,34244.64,11958.0,3.5,21.9,David
2022-10-24,Audi,Truck,Gray,2021,50635.01,22061.0,3.5,36.7,Alice
2022-10-25,Kia,SUV,Green,2017,66251.94,67924.0,2.5,31.1,Charlie
2022-10-26,Ford,Sedan,Black,2021,77471.16,94484.0,3.5,35.1,Bob
2022-10-27,Hyundai,Truck,Green,2022,58295.83,562.0,4.0,30.6,Eva
2022-10-28,BMW,Hatchback,Silver,2021,36347.54,67462.0,2.0,37.6,Eva
2022-10-29,Chevrolet,Hatchback,Black,2019,34638.65,77646.0,3.0,29.4,Charlie
2022-10-30,Toyota,Hatchback,Gray,2016,52907.37,53335.0,4.0,24.5,Charlie
2022-10-31,Kia,Sedan,Green,2021,66130.89,27600.0,4.0,34.5,David
2022-11-01,Audi,Coupe,Blue,2016,20895.15,95365.0,4.0,30.7,Bob
2022-11-02,Chevrolet,Van,Blue,2019,63198.51,61944.0,3.5,37.7,David
2022-11-03,Honda,Truck,Green,2019,21040.09,80989.0,2.5,32.3,David
2022-11-04,BMW,SUV,Black,2017,66325.88,56870.0,4.0,23.9,Eva
2022-11-05,BMW,Truck,Silver,2016,28467.2,53572.0,2.0,24.8,Bob
2022-11-06,Mercedes,Truck,Black,2021,27443.26,1835.0,3.0,29.2,Bob
2022-11-07,Toyota,Coupe,Gray,2017,66368.43,76512.0,2.0,21.1,Charlie
2022-11-08,BMW,Truck,White,2015,51046.32,20401.0,2.0,35.4,Bob
